Panel,Group,Method,ID Acc,BreastMRI_fpr95,BreastMRI_aupr,BreastMRI_auroc,MCND_fpr95,MCND_aupr,MCND_auroc,SARAircraft_fpr95,SARAircraft_aupr,SARAircraft_auroc,NewFUSAR_fpr95,NewFUSAR_aupr,NewFUSAR_auroc,Avg_fpr95,Avg_aupr,Avg_auroc
BreastMRI,嫁接后 Mamba-2,I-EDL (Mamba-G),,,,,,,,,,,,,,,,
BreastMRI,嫁接后 Mamba-2,DUQ (Mamba-G),,,,,,,,,,,,,,,,
BreastMRI,嫁接后 Mamba-2,MC-Dropout (Mamba-G),,,,,,,,,,,,,,,,
BreastMRI,嫁接后 Mamba-2,Deep Ensembles (Mamba-G),,,,,,,,,,,,,,,,
MCND,嫁接前,Re-EDL,97.01±0.37,92.22±15.56,97.16±1.30,64.49±12.21,80.00±24.24,82.33±6.35,70.88±10.33,87.18±22.70,65.97±12.86,68.57±11.00,85.79±10.26,75.86±12.72,72.95±9.81,86.30±19.53,80.33±14.85,69.22±11.32
MCND,嫁接前,HEDL,72.59±5.23,97.14±3.43,93.27±4.21,39.55±25.76,77.26±23.13,74.07±17.11,58.99±24.94,93.96±7.09,51.01±24.79,42.12±30.04,77.19±21.79,60.37±24.55,56.05±29.83,86.39±18.79,69.68±25.19,49.18±29.00
MCND,嫁接前,RS-NN,96.29±1.02,83.81±25.79,97.87±0.73,67.23±11.37,44.72±20.89,86.73±6.12,77.00±12.39,49.59±16.64,80.55±5.89,81.15±6.27,66.54±2.63,59.11±2.33,58.00±3.52,61.16±24.14,81.07±14.79,70.84±12.81
MCND,嫁接前,I-EDL,,,,,,,,,,,,,,,,
MCND,嫁接前,DUQ,,,,,,,,,,,,,,,,
MCND,嫁接前,MC-Dropout,,,,,,,,,,,,,,,,
MCND,嫁接前,Deep Ensembles,,,,,,,,,,,,,,,,
MCND,嫁接后 SWA-50,Re-EDL (SWA-G),,,,,,,,,,,,,,,,
MCND,嫁接后 SWA-50,HEDL (SWA-G),,,,,,,,,,,,,,,,
MCND,嫁接后 SWA-50,RS-NN (SWA-G),,,,,,,,,,,,,,,,
MCND,嫁接后 SWA-50,I-EDL (SWA-G),,,,,,,,,,,,,,,,
MCND,嫁接后 SWA-50,DUQ (SWA-G),,,,,,,,,,,,,,,,
MCND,嫁接后 SWA-50,MC-Dropout (SWA-G),,,,,,,,,,,,,,,,
MCND,嫁接后 SWA-50,Deep Ensembles (SWA-G),,,,,,,,,,,,,,,,
MCND,嫁接后 Hyena-50,Re-EDL (Hy-G),,,,,,,,,,,,,,,,
MCND,嫁接后 Hyena-50,HEDL (Hy-G),,,,,,,,,,,,,,,,
MCND,嫁接后 Hyena-50,RS-NN (Hy-G),,,,,,,,,,,,,,,,
MCND,嫁接后 Hyena-50,I-EDL (Hy-G),,,,,,,,,,,,,,,,
MCND,嫁接后 Hyena-50,DUQ (Hy-G),,,,,,,,,,,,,,,,
MCND,嫁接后 Hyena-50,MC-Dropout (Hy-G),,,,,,,,,,,,,,,,
MCND,嫁接后 Hyena-50,Deep Ensembles (Hy-G),,,,,,,,,,,,,,,,
MCND,嫁接后 Mamba-2,Re-EDL (Mamba-G),,,,,,,,,,,,,,,,
MCND,嫁接后 Mamba-2,HEDL (Mamba-G),,,,,,,,,,,,,,,,
MCND,嫁接后 Mamba-2,RS-NN (Mamba-G),,,,,,,,,,,,,,,,
MCND,嫁接后 Mamba-2,I-EDL (Mamba-G),,,,,,,,,,,,,,,,
MCND,嫁接后 Mamba-2,DUQ (Mamba-G),,,,,,,,,,,,,,,,
MCND,嫁接后 Mamba-2,MC-Dropout (Mamba-G),,,,,,,,,,,,,,,,
MCND,嫁接后 Mamba-2,Deep Ensembles (Mamba-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接前,Re-EDL,98.70±0.96,35.56±22.22,98.66±1.21,91.73±4.71,57.70±34.24,97.15±2.18,82.56±11.42,67.24±29.38,63.30±16.94,75.18±11.90,28.33±15.29,83.04±12.16,91.47±5.85,47.21±30.68,85.54±17.67,85.23±11.38
SAR-Aircraft,嫁接前,HEDL,41.26±4.56,92.38±12.12,88.57±6.29,43.29±23.27,90.41±16.89,84.93±8.49,35.81±29.36,90.18±17.29,42.70±22.13,46.79±22.73,80.51±5.36,42.42±9.55,62.95±7.65,88.37±14.53,64.65±25.75,47.21±24.35
SAR-Aircraft,嫁接前,RS-NN,99.05±0.21,62.22±25.32,97.11±1.23,77.88±9.23,97.16±2.82,90.30±2.53,44.24±12.75,82.79±15.28,49.38±10.04,53.54±13.45,73.81±7.15,63.26±5.14,72.85±5.05,78.99±19.91,75.01±20.33,62.13±17.40
SAR-Aircraft,嫁接前,I-EDL,,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接前,DUQ,,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接前,MC-Dropout,,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接前,Deep Ensembles,,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 SWA-50,Re-EDL (SWA-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 SWA-50,HEDL (SWA-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 SWA-50,RS-NN (SWA-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 SWA-50,I-EDL (SWA-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 SWA-50,DUQ (SWA-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 SWA-50,MC-Dropout (SWA-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 SWA-50,Deep Ensembles (SWA-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 Hyena-50,Re-EDL (Hy-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 Hyena-50,HEDL (Hy-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 Hyena-50,RS-NN (Hy-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 Hyena-50,I-EDL (Hy-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 Hyena-50,DUQ (Hy-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 Hyena-50,MC-Dropout (Hy-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 Hyena-50,Deep Ensembles (Hy-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 Mamba-2,Re-EDL (Mamba-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 Mamba-2,HEDL (Mamba-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 Mamba-2,RS-NN (Mamba-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 Mamba-2,I-EDL (Mamba-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 Mamba-2,DUQ (Mamba-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 Mamba-2,MC-Dropout (Mamba-G),,,,,,,,,,,,,,,,
SAR-Aircraft,嫁接后 Mamba-2,Deep Ensembles (Mamba-G),,,,,,,,,,,,,,,,
New-FUSAR,嫁接前,Re-EDL,,,,,,,,,,,,,,,,
